Slno,Data Center Name,Company Name,URL to Website,Address,Postal,City,Market,State,Country,Power (MW),Tier Design,Whitespace
65,Nxtra Bengaluru I,Nxtra by Airtel,https://www.nxtra.in/,"Plot 111 & 112, EPIP 5 Bharti Airtel Limited, Rd Number 7,560066 Whitefield, India",560066,Whitefield,Banagalore,Karnataka,India,5.5 MW,,
66,Nxtra Bengaluru II,Nxtra by Airtel,https://www.nxtra.in/,"within Bengaluru,560066 Bengaluru,India",560066,Banagalore,Banagalore,Karnataka,India,40 MW,,"41,806 sq.m."
67,Nivid Data Center,Nivid Technologies India Pvt Ltd,https://nividtele.com/,"Oceana Chambers, 757/11, 13th Cross, Krishna Rajendra Rd, 7th Block,3rd floor,560082 Bangalore,Karnataka, India",560082,Banagalore,Banagalore,Karnataka,India,,,
68,Trijit India Datacenter,"Trijit Technologies Pvt. Ltd.,",https://www.trijit.in/,"12th A Main Road & 14th A Cross Rd,560064 Bangalore,Karnataka, India",560064,Banagalore,Banagalore,Karnataka,India,,,
69,LNT BLR 1,L&T Cloudfiniti,https://lntcloudfiniti.com/,"within the Whitefield area of Bengaluru,560066 Bengaluru,India",560066,Banagalore,Banagalore,Karnataka,India,40 MW,,
70,Renaissance Data Center,Renaissance Technologies,https://www.renaissanceind.com/,"5AC-952, Ist Block HRBR Outer Ring Road,560043 Banaswadi,Karnataka, India",560043 ,Banaswadi,Banagalore,Karnataka,India,,,
71,LNT BLR 1,L&T Cloudfiniti,https://larsentoubrovyoma.com/,"within the Whitefield area of Bengaluru,560066 Bengaluru,India",560066 ,Bengaluru,Banagalore,Karnataka,India,40 MW,,
72,Go4Hosting Bengaluru,Go4Hosting,https://go4hosting.in/,"Akshaya Commercial Complex, No. 26/16, Victoria Road, Austin Town,2nd floor,560047 Bengaluru,Karnataka, India",560047,Bengaluru,Banagalore,Karnataka,India,40 MW,,
73,Medha Hosting Data Center,Medha Cloud,not secure,"1003 GF1, 15th Cross & 16th Main, BTM 2nd Stage,560076 Bangalore,India",560076,Bengaluru,Banagalore,Karnataka,India,,,
74,Tata Communications Bangalore VSB,Tata Communications,https://www.tatacommunications.com/,"18, 2nd Cross Rd,560094 Bangalore,Karnataka, India",560094,Bengaluru,Banagalore,Karnataka,India,,Tier 3,
75,Tata Communications Bangalore KIADB,Tata Communications,https://www.tatacommunications.com/,"Plot No.18, 19 & 20, Rd Number 7,KIADB Export Promotion Industrial Area,560066 Bangalore,Karnataka, India",560066,Bengaluru,Banagalore,Karnataka,India,,Tier 3,
76,Reliance IDC Bengaluru #2,Reliance Data Center,https://www.relianceidc.com/,"Pipeline Rd,560022 Bengaluru,Karnataka, India",560022,Bengaluru,Banagalore,Karnataka,India,,,
77,Reliance IDC Bengaluru #1,Reliance Data Center,https://www.relianceidc.com/,"49, Race Course Rd,560001 Bengaluru,Karnataka, India",560001 ,Bengaluru,Banagalore,Karnataka,India,,,
78,Reliance IDC Bengaluru #3,Reliance Data Center,https://www.relianceidc.com/,"16, Whitefield Main Road,Sadaramangala Industrial Area,560048 Bengaluru,Karnataka, India",560048 ,Bengaluru,Banagalore,Karnataka,India,,,
79,Iron Mountain Data Centers HYD-1,Iron Mountain Data Centers,https://www.ironmountain.com/,"No. 185 Masidbanda Village, Kondapur,500084 Hyderabad,India",500084,Hyderabad,Hyderabad,Karnataka,India,5.5 MW,Tier 3,11150 sq.f.
80,Sify Hyderabad,Sify Technologies Ltd,https://www.sifytechnologies.com/,"Survey No. 115/1, Street Name: Financial District, Nanakram Guda,500032 Hyderabad,Telangana, India",500032 ,Hyderabad,Hyderabad,Karnataka,India,,,
81,CtrlS Hyderabad DC2,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com,"Nanakramguda Financial, District, Bombay stock exchange, 500032 Hyderabad, India",500032,Hyderabad,Hyderabad,Karnataka,India,7.4 MW,Tier 4,"82,262 sq.f."
82,CtrlS Hyderabad DC3,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com/,"within Gachibowli Financial District,500032 Hyderabad,India",500032 ,Hyderabad,Hyderabad,Karnataka,India,13 MW,Tier 4,"130,000 sq.f."
83,CtrlS Hyderabad DC1,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com/,"Pioneer Towers, 20 Inorbit Mall Road,500081 Hyderabad,Telangana, India",500081 ,Hyderabad,Hyderabad,Karnataka,India,4 MW,Tier 4,"40,000 sq.f."
84,"CapitaLand Data Centre, Hyderabad 01",CapitaLand Data Centre,https://www.capitaland.com/,"Madhapur, Serilingampally Mandal,500081 Hyderabad,Telengana, India",500081,Telengana,Hyderabad,Karnataka,India,40 MW,,
85,STT Hyderabad DC 1,STT GDC India,https://www.sttelemediagdc.com/,"Videsh Sanchar Bhavan, CFC-1, HITEC City,500081 Madhapur,Telangana, India",500081 ,Telengana,Hyderabad,Karnataka,India,8 MW,,"120,000 sq.f."
86,Microsoft HYD11 - Building 1,Microsoft,https://datacenters.microsoft.com/,"100 Feet Industrial Rd,501503 Chandenvelly,India",501503,Chandenvelly,Hyderabad,Karnataka,India,48 MW,,"23,087 sq.m"
87,Microsoft HYD11 - Building 2,Microsoft,https://datacenters.microsoft.com/,"100 Feet Industrial Rd,501503 Chandenvelly,India",501503,Chandenvelly,Hyderabad,Karnataka,India,48 MW,,"23,087 sq.m."
88,Microsoft HYD11,Microsoft,https://datacenters.microsoft.com/,"100 Feet Industrial Rd,501503 Chandenvelly,India",501503,Chandenvelly,Hyderabad,Karnataka,India,,,
89,Nxtra Hyderabad ,Nxtra by Airtel,https://www.nxtra.in/,"within International Tech Park Hyderabad,,500081 HyderabadIndia",500081,Hyderabad,Hyderabad,Karnataka,India,40 MW,,"41,806 sq.m."
90,RailTel Secunderabad Data Center,RailTel Corporation of India Ltd.,https://www.railtel.in/,"B-Block, Rail Nilayam,2nd Floor,500071 Secunderabad,Telengana, India",500071,Telengana,Hyderabad,Karnataka,India,,Tier 3,
91,Amazon AWS HYD - Kandukur Campus,Amazon AWS,https://aws.amazon.com/,"VavillakuntaThanda,501359 Vailkunta TandaIndia",501359,Tanda,Hyderabad,Karnataka,India,,,
92,AdaniConneX Hyderabad,AdaniConneX,https://www.adaniconnex.com/,"Pargi Road,509410 Elkatta,India",509410,Elkatta,Hyderabad,Karnataka,India,100 MW,,
93,Amazon AWS HYD - Shahabad Campus,Amazon AWS,https://aws.amazon.com/,"Hyathabad - Shahabad Rd,509217 Shahabad,India",509217,Shahabad,Hyderabad,Karnataka,India,,,
94,Amazon AWS HYD - FAB Campus,Amazon AWS,https://aws.amazon.com/,"26, FAB City,501359 Kongar Khurd B,India",501359,Kongar,Hyderabad,Karnataka,India,,,
95,CtrlS Chandanvelly Industrial Park,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com/,"Hayathabad - Shahabad Rd,509217 Shabad,India",509217,Shabad,Hyderabad,Karnataka,India,600 MW,,
254,AdaniConneX Vizag,AdaniConneX,https://www.adaniconnex.com,"AdaniConneX
4-76 Rajiv Nagar Road
530046 Visakhapatnam
India",530046,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,100 MW,,
255,Sify Visakhapatnam,Sify Technologies Ltd,https://www.sifytechnologies.com,"Sify Technologies Ltd
within Rushikonda–Madhurawada IT Park
530045 Visakhapatnam
India",530045,Visakhapatnam,Visakhapatnam,Andhra Pradesh,India,50 MW,,
256,CtrlS Bhubaneswar DC1,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com,"CtrlS Datacenters Pvt Ltd
Infocity, Chandrasekharpur
751021 Bhubaneswar
India",751021,Bhubaneswar,Bhubaneswar,Odisha,India,5 MW,,
257,Nxtra Bhubaneswar I,Nxtra by Airtel,https://www.nxtra.in/,"Nxtra by Airtel
Plot No. E-13/1, Chandaka Industrial Estate
4th Floor
751024 Bhubaneswar
India",751024,Bhubaneswar,Bhubaneswar,Odisha,India,1.8 MW,,
258,CtrlS Lucknow Edge DC1,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com/lucknow-datacenter,"CtrlS Datacenters Pvt Ltd
Urbanac Business Park, Shaheed Path & Polytechnic Rd
5th Floor
226010 Lucknow
India",226010,Lucknow,Lucknow, Uttar Pradesh,India,,,
259,Sify Lucknow,Sify Technologies Ltd,https://www.sifytechnologies.com,"Sify Technologies Ltd
within HCL IT City, Sultanpur Road
226002 Lucknow
India",226002,Lucknow,Lucknow, Uttar Pradesh,India,,,
260,MilesWeb Nashik,MilesWeb,https://www.milesweb.com,"MilesWeb
2, Soham Elite
Opposite Children Traffic Education Park
422002 Nashik
Maharashtra, India",422002,Nashik,Nashik,Maharashtra,India,,,
261,ESDS Nashik DC,ESDS Software Solution Pvt. Ltd.,https://www.esds.co.in,"ESDS Software Solution Pvt. Ltd.
Plot No. B- 24 & 25, NICE Industrial Area. Satpur MIDC
422 007 Nashik
Maharashtra, India",422 007,Nashik,Nashik,Maharashtra,India,,Tier 3,
262,ESDS Mohali DC,ESDS Software Solution Pvt. Ltd.,https://www.esds.co.in,"ESDS Software Solution Pvt. Ltd.
Plot No. C, 184, Industrial Area, Sector 75
160071 Mohali
India",160071,Mohali,Ludhiana,Punjab,India,,Tier 3,
263,BSNL Ludhiana IDC,BSNL IDC,https://bsnl.co.in/en,"BSNL IDC
BSNL Telephone Exchange, Transport Nagar
141003 Ludhiana
Punjab, India",141003,Ludhiana,Ludhiana,Punjab,India,,,
264,RackBank Nava Raipur,Rackbank Datacenters Pvt. Ltd.,https://www.rackbank.com,"Rackbank Datacenters Pvt. Ltd.
CBD Naya Raipur, Sector 22
492018 Atal Nagar-Nava Raipur",492018,Raipur,Raipur,Chhattisgarh,India,160 MW,,
265,Anant Raj Rai,Anant Raj Cloud,https://anantrajcloud.com/,"Anant Raj Cloud
Plot No. TP-1, HSIIDC Ethnic City, Sector 38, 131029 Rai' India",131029,Sonipat,Rohtak,Haryana,India,200 MW,Tier 4,
266,Anant Raj Panchkula,Anant Raj Cloud,https://anantrajlimited.com/,"Anant Raj Tech Park, 4th Floor, Tower B
134109 Panchkula, India",131029,Sonipat,Panchkula,Haryana,India,50 MW,Tier 4,
267,Nxtra Agartala I,Nxtra by Airtel,https://www.nxtra.in,"Nxtra by Airtel
within Chanmari area of Agartala
799006 Agartala, India",799006,Agartala,Agartala,Tripura,India,5 MW,,7432 sq. ft.
268,Kennies IT Mohali,Kennies IT,https://kenniesit.com,"Kennies IT
Village Jansua, Near Gill Dhaba, Rajpura
140401 Mohali",140401,Rajpura,Mohali,Punjab,India,2  MW,Tier 3,4600   sq. ft.
269,NetDataVault,NetDataVault IDC,https://www.netdatavault.com/,"NetDataVault IDC
F-19, RIICO, Phase-1, Bhiwadi
301019 Delhi NCR
India",301019,Alwar,Alwar,Rajasthan,India,,Tier 3,5000  sq. ft.
270,Seven Hills,Seven Hills Cloud Technology Private Limited,https://7hillscloud.in,"Seven Hills Cloud Technology Private Limited
#610, Appanthirupathy
625301 Madurai
India",625301,Madurai,Madurai, Tamil Nadu,India,,Tier 3,2000  sq. ft.
271,Airgenie Data Center,Airgenie Communications,https://airgenie.co.in,"3rd Cross St & Elango Nagar Extn, Puducherry",605013,Puducherry,Pondicherry,Pondicherry,India,,Tier 2,
272,CtrlS Patna Edge DC1,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com/lucknow-datacenter,"Plot No.18, Patliputra Industrial Area, Patna",800013,Patna,Patna,Bihar,India,,,
273,CtrlS Bhopal DC1,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com,"within Badwai IT Park, Bhopal",462033,Bhopal,Bhopal,Madhya Pradesh,India,,,
274,Pi Amaravati,Pi Datacenters,https://pidatacenters.com,"Survey# 49/P, Plot no -12, IT Park, Mangalagiri",522503,Mangalagiri,Guntur,Andhra Pradesh,India,,Tier 4,
275,BSNL Cochin IDC,BSNL IDC,https://bsnl.co.in/en,"FF, BSNL Telephone bhavan Cherthala, Cochin",688524,Cochin,Alappuzha,Kerala,India,,,
276,BSNL Faridabad IDC,Bharat Sanchar Nigam Limited (BSNL) ” Operated in partnership with NTT (formerly Dimension Data).,https://bsnl.co.in/en,"BSNL Telephone Exchange Building, DLF Industrial Area",121001,Faridabad,Faridabad,Haryana,India,Not publicly disclosed,Not Listed,"10,000 - 11,000 sq. ft."
